segment,country,product,discount_band,units_sold,sale_price,gross_sales,discounts,net_sales,cogs,profit,month_name,month_number,year,sale_date,exchange_rate,target_currency,net_sales_converted,profit_converted
Enterprise,Germany,Paseo,Medium,3513.0,125.0,439125.0,30738.75,408386.25,421560.0,-13173.75,July,7,2014,2014-07-01,1.400848,AUD,572087.06,-18454.42
Midmarket,France,Paseo,Medium,2101.0,15.0,31515.0,2206.05,29308.95,21010.0,8298.95,August,8,2014,2014-08-01,1.400848,AUD,41057.38,11625.57
Midmarket,United States of America,Paseo,Medium,2931.0,15.0,43965.0,3077.55,40887.45,29310.0,11577.449999999997,September,9,2013,2013-09-01,1.400848,AUD,57277.1,16218.25
Government,France,Paseo,Medium,1535.0,20.0,30700.0,2149.0,28551.0,15350.0,13201.0,September,9,2014,2014-09-01,1.400848,AUD,39995.61,18492.59
Small Business,Germany,Paseo,Medium,1123.0,300.0,336900.0,23583.0,313317.0,280750.0,32567.0,September,9,2013,2013-09-01,1.400848,AUD,438909.49,45621.42
Small Business,Canada,Paseo,Medium,1404.0,300.0,421200.0,29484.0,391716.0,351000.0,40716.0,November,11,2013,2013-11-01,1.400848,AUD,548734.58,57036.93
Channel Partners,Mexico,Paseo,Medium,2763.0,12.0,33156.0,2320.92,30835.08,8289.0,22546.08,November,11,2013,2013-11-01,1.400848,AUD,43195.26,31583.63
Government,Germany,Paseo,Medium,2125.0,7.0,14875.0,1041.25,13833.75,10625.0,3208.75,December,12,2013,2013-12-01,1.400848,AUD,19378.98,4494.97
Small Business,France,Velo,Medium,1659.0,300.0,497700.0,34839.0,462861.0,414750.0,48111.0,July,7,2014,2014-07-01,1.400848,AUD,648397.91,67396.2
Government,Mexico,Velo,Medium,609.0,20.0,12180.0,852.6,11327.4,6090.0,5237.4,August,8,2014,2014-08-01,1.400848,AUD,15867.97,7336.8
Enterprise,Germany,Velo,Medium,2087.0,125.0,260875.0,18261.25,242613.75,250440.0,-7826.25,September,9,2014,2014-09-01,1.400848,AUD,339864.99,-10963.39
Government,France,Velo,Medium,1976.0,20.0,39520.0,2766.4,36753.6,19760.0,16993.6,October,10,2014,2014-10-01,1.400848,AUD,51486.21,23805.45
Government,United States of America,Velo,Medium,1421.0,20.0,28420.0,1989.4,26430.6,14210.0,12220.599999999999,December,12,2013,2013-12-01,1.400848,AUD,37025.25,17119.2
Small Business,United States of America,Velo,Medium,1372.0,300.0,411600.0,28812.0,382788.0,343000.0,39788.0,December,12,2014,2014-12-01,1.400848,AUD,536227.8,55736.94
Government,Germany,Velo,Medium,588.0,20.0,11760.0,823.2,10936.8,5880.0,5056.799999999999,December,12,2013,2013-12-01,1.400848,AUD,15320.79,7083.81
Channel Partners,Canada,VTT,Medium,3244.5,12.0,38934.0,2725.38,36208.62,9733.5,26475.120000000003,January,1,2014,2014-01-01,1.400848,AUD,50722.77,37087.62
Small Business,France,VTT,Medium,959.0,300.0,287700.0,20139.0,267561.0,239750.0,27811.0,February,2,2014,2014-02-01,1.400848,AUD,374812.29,38958.98
Small Business,Mexico,VTT,Medium,2747.0,300.0,824100.0,57687.0,766413.0,686750.0,79663.0,February,2,2014,2014-02-01,1.400848,AUD,1073628.12,111595.75
Enterprise,Canada,Amarilla,Medium,1645.0,125.0,205625.0,14393.75,191231.25,197400.0,-6168.75,May,5,2014,2014-05-01,1.400848,AUD,267885.91,-8641.48
Government,France,Amarilla,Medium,2876.0,350.0,1006600.0,70462.0,936138.0,747760.0,188378.0,September,9,2014,2014-09-01,1.400848,AUD,1311387.05,263888.94
Enterprise,Germany,Amarilla,Medium,994.0,125.0,124250.0,8697.5,115552.5,119280.0,-3727.5,September,9,2013,2013-09-01,1.400848,AUD,161871.49,-5221.66
Government,Canada,Amarilla,Medium,1118.0,20.0,22360.0,1565.2,20794.8,11180.0,9614.8,November,11,2014,2014-11-01,1.400848,AUD,29130.35,13468.87
Small Business,United States of America,Amarilla,Medium,1372.0,300.0,411600.0,28812.0,382788.0,343000.0,39788.0,December,12,2014,2014-12-01,1.400848,AUD,536227.8,55736.94
Government,Canada,Montana,Medium,488.0,7.0,3416.0,273.28,3142.7200000000003,2440.0,702.7200000000003,February,2,2014,2014-02-01,1.400848,AUD,4402.47,984.4
Government,United States of America,Montana,Medium,1282.0,20.0,25640.0,2051.2,23588.8,12820.0,10768.8,June,6,2014,2014-06-01,1.400848,AUD,33044.32,15085.45
Government,Canada,Paseo,Medium,257.0,7.0,1799.0,143.92,1655.08,1285.0,370.0799999999999,May,5,2014,2014-05-01,1.400848,AUD,2318.52,518.43
Government,United States of America,Amarilla,Medium,1282.0,20.0,25640.0,2051.2,23588.8,12820.0,10768.8,June,6,2014,2014-06-01,1.400848,AUD,33044.32,15085.45
Enterprise,Mexico,Carretera,Medium,1540.0,125.0,192500.0,15400.0,177100.0,184800.0,-7700.0,August,8,2014,2014-08-01,1.400848,AUD,248090.18,-10786.53
Midmarket,France,Carretera,Medium,490.0,15.0,7350.0,588.0,6762.0,4900.0,1862.0,November,11,2014,2014-11-01,1.400848,AUD,9472.53,2608.38
Government,Mexico,Carretera,Medium,1362.0,350.0,476700.0,38136.0,438564.0,354120.0,84444.0,December,12,2014,2014-12-01,1.400848,AUD,614361.5,118293.21
Midmarket,France,Montana,Medium,2501.0,15.0,37515.0,3001.2,34513.8,25010.0,9503.800000000003,March,3,2014,2014-03-01,1.400848,AUD,48348.59,13313.38
Government,Canada,Montana,Medium,708.0,20.0,14160.0,1132.8,13027.2,7080.0,5947.200000000001,June,6,2014,2014-06-01,1.400848,AUD,18249.13,8331.12
Government,Germany,Montana,Medium,645.0,20.0,12900.0,1032.0,11868.0,6450.0,5418.0,July,7,2014,2014-07-01,1.400848,AUD,16625.26,7589.79
Small Business,France,Montana,Medium,1562.0,300.0,468600.0,37488.0,431112.0,390500.0,40612.0,August,8,2014,2014-08-01,1.400848,AUD,603922.38,56891.24
Small Business,Canada,Montana,Medium,1283.0,300.0,384900.0,30792.0,354108.0,320750.0,33358.0,September,9,2013,2013-09-01,1.400848,AUD,496051.48,46729.49
Midmarket,Germany,Montana,Medium,711.0,15.0,10665.0,853.2,9811.8,7110.0,2701.7999999999993,December,12,2014,2014-12-01,1.400848,AUD,13744.84,3784.81
Enterprise,Mexico,Paseo,Medium,1114.0,125.0,139250.0,11140.0,128110.0,133680.0,-5570.0,March,3,2014,2014-03-01,1.400848,AUD,179462.64,-7802.72
Government,Germany,Paseo,Medium,1259.0,7.0,8813.0,705.04,8107.96,6295.0,1812.96,April,4,2014,2014-04-01,1.400848,AUD,11358.02,2539.68
Government,Germany,Paseo,Medium,1095.0,7.0,7665.0,613.2,7051.8,5475.0,1576.8000000000002,May,5,2014,2014-05-01,1.400848,AUD,9878.5,2208.86
Government,Germany,Paseo,Medium,1366.0,20.0,27320.0,2185.6,25134.4,13660.0,11474.400000000001,June,6,2014,2014-06-01,1.400848,AUD,35209.47,16073.89
Small Business,Mexico,Paseo,Medium,2460.0,300.0,738000.0,59040.0,678960.0,615000.0,63960.0,June,6,2014,2014-06-01,1.400848,AUD,951119.76,89598.24
Government,United States of America,Paseo,Medium,678.0,7.0,4746.0,379.68,4366.32,3390.0,976.3199999999997,August,8,2014,2014-08-01,1.400848,AUD,6116.55,1367.68
Government,Germany,Paseo,Medium,1598.0,7.0,11186.0,894.88,10291.12,7990.0,2301.120000000001,August,8,2014,2014-08-01,1.400848,AUD,14416.29,3223.52
Government,Germany,Paseo,Medium,2409.0,7.0,16863.0,1349.04,15513.96,12045.0,3468.959999999999,September,9,2013,2013-09-01,1.400848,AUD,21732.7,4859.49
Government,Germany,Paseo,Medium,1934.0,20.0,38680.0,3094.4,35585.6,19340.0,16245.599999999999,September,9,2014,2014-09-01,1.400848,AUD,49850.02,22757.62
Government,Mexico,Paseo,Medium,2993.0,20.0,59860.0,4788.8,55071.2,29930.0,25141.199999999997,September,9,2014,2014-09-01,1.400848,AUD,77146.38,35219.0
Government,Germany,Paseo,Medium,2146.0,350.0,751100.0,60088.0,691012.0,557960.0,133052.0,November,11,2013,2013-11-01,1.400848,AUD,968002.78,186385.63
Government,Mexico,Paseo,Medium,1946.0,7.0,13622.0,1089.76,12532.24,9730.0,2802.24,December,12,2013,2013-12-01,1.400848,AUD,17555.76,3925.51
Government,Mexico,Paseo,Medium,1362.0,350.0,476700.0,38136.0,438564.0,354120.0,84444.0,December,12,2014,2014-12-01,1.400848,AUD,614361.5,118293.21
Channel Partners,Canada,Velo,Medium,598.0,12.0,7176.0,574.08,6601.92,1794.0,4807.92,March,3,2014,2014-03-01,1.400848,AUD,9248.29,6735.17
Government,United States of America,Velo,Medium,2907.0,7.0,20349.0,1627.92,18721.08,14535.0,4186.080000000002,June,6,2014,2014-06-01,1.400848,AUD,26225.39,5864.06
Government,Germany,Velo,Medium,2338.0,7.0,16366.0,1309.28,15056.72,11690.0,3366.7199999999993,June,6,2014,2014-06-01,1.400848,AUD,21092.18,4716.26
Small Business,France,Velo,Medium,386.0,300.0,115800.0,9264.0,106536.0,96500.0,10036.0,November,11,2013,2013-11-01,1.400848,AUD,149240.74,14058.91
Small Business,Mexico,Velo,Medium,635.0,300.0,190500.0,15240.0,175260.0,158750.0,16510.0,December,12,2014,2014-12-01,1.400848,AUD,245512.62,23128.0
Government,France,VTT,Medium,574.5,350.0,201075.0,16086.0,184989.0,149370.0,35619.0,April,4,2014,2014-04-01,1.400848,AUD,259141.47,49896.8
Government,Germany,VTT,Medium,2338.0,7.0,16366.0,1309.28,15056.72,11690.0,3366.7199999999993,June,6,2014,2014-06-01,1.400848,AUD,21092.18,4716.26
Government,France,VTT,Medium,381.0,350.0,133350.0,10668.0,122682.0,99060.0,23622.0,August,8,2014,2014-08-01,1.400848,AUD,171858.83,33090.83
Government,Germany,VTT,Medium,422.0,350.0,147700.0,11816.0,135884.0,109720.0,26164.0,August,8,2014,2014-08-01,1.400848,AUD,190352.83,36651.79
Small Business,Canada,VTT,Medium,2134.0,300.0,640200.0,51216.0,588984.0,533500.0,55484.0,September,9,2014,2014-09-01,1.400848,AUD,825077.06,77724.65
Small Business,United States of America,VTT,Medium,808.0,300.0,242400.0,19392.0,223008.0,202000.0,21008.0,December,12,2013,2013-12-01,1.400848,AUD,312400.31,29429.01
Government,Canada,Amarilla,Medium,708.0,20.0,14160.0,1132.8,13027.2,7080.0,5947.200000000001,June,6,2014,2014-06-01,1.400848,AUD,18249.13,8331.12
Government,United States of America,Amarilla,Medium,2907.0,7.0,20349.0,1627.92,18721.08,14535.0,4186.080000000002,June,6,2014,2014-06-01,1.400848,AUD,26225.39,5864.06
Government,Germany,Amarilla,Medium,1366.0,20.0,27320.0,2185.6,25134.4,13660.0,11474.400000000001,June,6,2014,2014-06-01,1.400848,AUD,35209.47,16073.89
Small Business,Mexico,Amarilla,Medium,2460.0,300.0,738000.0,59040.0,678960.0,615000.0,63960.0,June,6,2014,2014-06-01,1.400848,AUD,951119.76,89598.24
Government,Germany,Amarilla,Medium,1520.0,20.0,30400.0,2432.0,27968.0,15200.0,12768.0,November,11,2014,2014-11-01,1.400848,AUD,39178.92,17886.03
Midmarket,Germany,Amarilla,Medium,711.0,15.0,10665.0,853.2,9811.8,7110.0,2701.7999999999993,December,12,2014,2014-12-01,1.400848,AUD,13744.84,3784.81
Channel Partners,Mexico,Amarilla,Medium,1375.0,12.0,16500.0,1320.0,15180.0,4125.0,11055.0,December,12,2013,2013-12-01,1.400848,AUD,21264.87,15486.37
Small Business,Mexico,Amarilla,Medium,635.0,300.0,190500.0,15240.0,175260.0,158750.0,16510.0,December,12,2014,2014-12-01,1.400848,AUD,245512.62,23128.0
Government,United States of America,VTT,Medium,436.5,20.0,8730.0,698.4000000000001,8031.599999999999,4365.0,3666.5999999999995,July,7,2014,2014-07-01,1.400848,AUD,11251.05,5136.35
Small Business,Canada,Carretera,Medium,1094.0,300.0,328200.0,29538.0,298662.0,273500.0,25162.0,June,6,2014,2014-06-01,1.400848,AUD,418380.07,35248.14
Channel Partners,Mexico,Carretera,Medium,367.0,12.0,4404.0,396.36,4007.64,1101.0,2906.64,October,10,2013,2013-10-01,1.400848,AUD,5614.09,4071.76
Small Business,Canada,Montana,Medium,3802.5,300.0,1140750.0,102667.5,1038082.5,950625.0,87457.5,April,4,2014,2014-04-01,1.400848,AUD,1454195.79,122514.66
Government,France,Montana,Medium,1666.0,350.0,583100.0,52479.0,530621.0,433160.0,97461.0,May,5,2014,2014-05-01,1.400848,AUD,743319.37,136528.05
Small Business,France,Montana,Medium,322.0,300.0,96600.0,8694.0,87906.0,80500.0,7406.0,September,9,2013,2013-09-01,1.400848,AUD,123142.94,10374.68
Channel Partners,Canada,Montana,Medium,2321.0,12.0,27852.0,2506.68,25345.32,6963.0,18382.32,November,11,2014,2014-11-01,1.400848,AUD,35504.94,25750.84
Enterprise,France,Montana,Medium,1857.0,125.0,232125.0,20891.25,211233.75,222840.0,-11606.25,November,11,2013,2013-11-01,1.400848,AUD,295906.38,-16258.59
Government,Canada,Montana,Medium,1611.0,7.0,11277.0,1014.93,10262.07,8055.0,2207.0699999999997,December,12,2013,2013-12-01,1.400848,AUD,14375.6,3091.77
Enterprise,United States of America,Montana,Medium,2797.0,125.0,349625.0,31466.25,318158.75,335640.0,-17481.25,December,12,2014,2014-12-01,1.400848,AUD,445692.05,-24488.57
Small Business,Germany,Montana,Medium,334.0,300.0,100200.0,9018.0,91182.0,83500.0,7682.0,December,12,2013,2013-12-01,1.400848,AUD,127732.12,10761.31
Small Business,Mexico,Paseo,Medium,2565.0,300.0,769500.0,69255.0,700245.0,641250.0,58995.0,January,1,2014,2014-01-01,1.400848,AUD,980936.81,82643.03
Government,Mexico,Paseo,Medium,2417.0,350.0,845950.0,76135.5,769814.5,628420.0,141394.5,January,1,2014,2014-01-01,1.400848,AUD,1078393.1,198072.2
Midmarket,United States of America,Paseo,Medium,3675.0,15.0,55125.0,4961.25,50163.75,36750.0,13413.75,April,4,2014,2014-04-01,1.400848,AUD,70271.79,18790.62
Small Business,Canada,Paseo,Medium,1094.0,300.0,328200.0,29538.0,298662.0,273500.0,25162.0,June,6,2014,2014-06-01,1.400848,AUD,418380.07,35248.14
Midmarket,France,Paseo,Medium,1227.0,15.0,18405.0,1656.45,16748.55,12270.0,4478.549999999999,October,10,2014,2014-10-01,1.400848,AUD,23462.17,6273.77
Channel Partners,Mexico,Paseo,Medium,367.0,12.0,4404.0,396.36,4007.64,1101.0,2906.64,October,10,2013,2013-10-01,1.400848,AUD,5614.09,4071.76
Small Business,France,Paseo,Medium,1324.0,300.0,397200.0,35748.0,361452.0,331000.0,30452.0,November,11,2014,2014-11-01,1.400848,AUD,506339.31,42658.62
Channel Partners,Germany,Paseo,Medium,1775.0,12.0,21300.0,1917.0,19383.0,5325.0,14058.0,November,11,2013,2013-11-01,1.400848,AUD,27152.64,19693.12
Enterprise,United States of America,Paseo,Medium,2797.0,125.0,349625.0,31466.25,318158.75,335640.0,-17481.25,December,12,2014,2014-12-01,1.400848,AUD,445692.05,-24488.57
Midmarket,Mexico,Velo,Medium,245.0,15.0,3675.0,330.75,3344.25,2450.0,894.25,May,5,2014,2014-05-01,1.400848,AUD,4684.79,1252.71
Small Business,Canada,Velo,Medium,3793.5,300.0,1138050.0,102424.5,1035625.5,948375.0,87250.5,July,7,2014,2014-07-01,1.400848,AUD,1450753.91,122224.69
Government,Germany,Velo,Medium,1307.0,350.0,457450.0,41170.5,416279.5,339820.0,76459.5,July,7,2014,2014-07-01,1.400848,AUD,583144.31,107108.14
Enterprise,Canada,Velo,Medium,567.0,125.0,70875.0,6378.75,64496.25,68040.0,-3543.75,September,9,2014,2014-09-01,1.400848,AUD,90349.44,-4964.26
Enterprise,Mexico,Velo,Medium,2110.0,125.0,263750.0,23737.5,240012.5,253200.0,-13187.5,September,9,2014,2014-09-01,1.400848,AUD,336221.03,-18473.68
Government,Canada,Velo,Medium,1269.0,350.0,444150.0,39973.5,404176.5,329940.0,74236.5,October,10,2014,2014-10-01,1.400848,AUD,566189.84,103994.05
Channel Partners,United States of America,VTT,Medium,1956.0,12.0,23472.0,2112.48,21359.52,5868.0,15491.52,January,1,2014,2014-01-01,1.400848,AUD,29921.44,21701.26
Small Business,Germany,VTT,Medium,2659.0,300.0,797700.0,71793.0,725907.0,664750.0,61157.0,February,2,2014,2014-02-01,1.400848,AUD,1016885.37,85671.66
Government,United States of America,VTT,Medium,1351.5,350.0,473025.0,42572.25,430452.75,351390.0,79062.75,April,4,2014,2014-04-01,1.400848,AUD,602998.87,110754.9
Channel Partners,Germany,VTT,Medium,880.0,12.0,10560.0,950.4,9609.6,2640.0,6969.6,May,5,2014,2014-05-01,1.400848,AUD,13461.59,9763.35
Small Business,United States of America,VTT,Medium,1867.0,300.0,560100.0,50409.0,509691.0,466750.0,42941.0,September,9,2014,2014-09-01,1.400848,AUD,713999.62,60153.81
Channel Partners,France,VTT,Medium,2234.0,12.0,26808.0,2412.72,24395.28,6702.0,17693.28,September,9,2013,2013-09-01,1.400848,AUD,34174.08,24785.6
Midmarket,France,VTT,Medium,1227.0,15.0,18405.0,1656.45,16748.55,12270.0,4478.549999999999,October,10,2014,2014-10-01,1.400848,AUD,23462.17,6273.77
Enterprise,Mexico,VTT,Medium,877.0,125.0,109625.0,9866.25,99758.75,105240.0,-5481.25,November,11,2014,2014-11-01,1.400848,AUD,139746.85,-7678.4
Government,United States of America,Amarilla,Medium,2071.0,350.0,724850.0,65236.5,659613.5,538460.0,121153.5,September,9,2014,2014-09-01,1.400848,AUD,924018.25,169717.64
Government,Canada,Amarilla,Medium,1269.0,350.0,444150.0,39973.5,404176.5,329940.0,74236.5,October,10,2014,2014-10-01,1.400848,AUD,566189.84,103994.05
Midmarket,Germany,Amarilla,Medium,970.0,15.0,14550.0,1309.5,13240.5,9700.0,3540.5,November,11,2013,2013-11-01,1.400848,AUD,18547.93,4959.7
Government,Mexico,Amarilla,Medium,1694.0,20.0,33880.0,3049.2,30830.8,16940.0,13890.8,November,11,2014,2014-11-01,1.400848,AUD,43189.26,19458.9
Government,Germany,Carretera,Medium,663.0,20.0,13260.0,1193.4,12066.6,6630.0,5436.6,May,5,2014,2014-05-01,1.400848,AUD,16903.47,7615.85
Government,Canada,Carretera,Medium,819.0,7.0,5733.0,515.97,5217.03,4095.0,1122.03,July,7,2014,2014-07-01,1.400848,AUD,7308.27,1571.79
Channel Partners,Germany,Carretera,Medium,1580.0,12.0,18960.0,1706.4,17253.6,4740.0,12513.599999999999,September,9,2014,2014-09-01,1.400848,AUD,24169.67,17529.65
Government,Mexico,Carretera,Medium,521.0,7.0,3647.0,328.23,3318.77,2605.0,713.77,December,12,2014,2014-12-01,1.400848,AUD,4649.09,999.88
Government,United States of America,Paseo,Medium,973.0,20.0,19460.0,1751.4,17708.6,9730.0,7978.5999999999985,March,3,2014,2014-03-01,1.400848,AUD,24807.06,11176.81
Government,Mexico,Paseo,Medium,1038.0,20.0,20760.0,1868.4,18891.6,10380.0,8511.599999999999,June,6,2014,2014-06-01,1.400848,AUD,26464.26,11923.46
Government,Germany,Paseo,Medium,360.0,7.0,2520.0,226.8,2293.2,1800.0,493.1999999999998,October,10,2014,2014-10-01,1.400848,AUD,3212.42,690.9
Channel Partners,France,Velo,Medium,1967.0,12.0,23604.0,2124.36,21479.64,5901.0,15578.64,March,3,2014,2014-03-01,1.400848,AUD,30089.71,21823.31
Midmarket,Mexico,Velo,Medium,2628.0,15.0,39420.0,3547.8,35872.2,26280.0,9592.199999999997,April,4,2014,2014-04-01,1.400848,AUD,50251.5,13437.21
Government,Germany,VTT,Medium,360.0,7.0,2520.0,226.8,2293.2,1800.0,493.1999999999998,October,10,2014,2014-10-01,1.400848,AUD,3212.42,690.9
Government,France,VTT,Medium,2682.0,20.0,53640.0,4827.6,48812.4,26820.0,21992.4,November,11,2013,2013-11-01,1.400848,AUD,68378.75,30808.01
Government,Mexico,VTT,Medium,521.0,7.0,3647.0,328.23,3318.77,2605.0,713.77,December,12,2014,2014-12-01,1.400848,AUD,4649.09,999.88
Government,Mexico,Amarilla,Medium,1038.0,20.0,20760.0,1868.4,18891.6,10380.0,8511.599999999999,June,6,2014,2014-06-01,1.400848,AUD,26464.26,11923.46
Midmarket,Canada,Amarilla,Medium,1630.5,15.0,24457.5,2201.175,22256.324999999997,16305.0,5951.324999999999,July,7,2014,2014-07-01,1.400848,AUD,31177.73,8336.9
Channel Partners,France,Amarilla,Medium,306.0,12.0,3672.0,330.48,3341.52,918.0,2423.52,December,12,2013,2013-12-01,1.400848,AUD,4680.96,3394.98
Channel Partners,United States of America,Carretera,High,386.0,12.0,4632.0,463.2,4168.8,1158.0,3010.8,October,10,2013,2013-10-01,1.400848,AUD,5839.86,4217.67
Government,United States of America,Montana,High,2328.0,7.0,16296.0,1629.6,14666.4,11640.0,3026.3999999999996,September,9,2014,2014-09-01,1.400848,AUD,20545.4,4239.53
Channel Partners,United States of America,Paseo,High,386.0,12.0,4632.0,463.2,4168.8,1158.0,3010.8,October,10,2013,2013-10-01,1.400848,AUD,5839.86,4217.67
Enterprise,United States of America,Carretera,High,3445.5,125.0,430687.5,43068.75,387618.75,413460.0,-25841.25,April,4,2014,2014-04-01,1.400848,AUD,542994.95,-36199.66
Enterprise,France,Carretera,High,1482.0,125.0,185250.0,18525.0,166725.0,177840.0,-11115.0,December,12,2013,2013-12-01,1.400848,AUD,233556.38,-15570.43
Government,United States of America,Montana,High,2313.0,350.0,809550.0,80955.0,728595.0,601380.0,127215.0,May,5,2014,2014-05-01,1.400848,AUD,1020650.85,178208.88
Enterprise,United States of America,Montana,High,1804.0,125.0,225500.0,22550.0,202950.0,216480.0,-13530.0,November,11,2013,2013-11-01,1.400848,AUD,284302.1,-18953.47
Midmarket,France,Montana,High,2072.0,15.0,31080.0,3108.0,27972.0,20720.0,7252.0,December,12,2014,2014-12-01,1.400848,AUD,39184.52,10158.95
Government,France,Paseo,High,1954.0,20.0,39080.0,3908.0,35172.0,19540.0,15632.0,March,3,2014,2014-03-01,1.400848,AUD,49270.63,21898.06
Small Business,Mexico,Paseo,High,591.0,300.0,177300.0,17730.0,159570.0,147750.0,11820.0,May,5,2014,2014-05-01,1.400848,AUD,223533.32,16558.02
Midmarket,France,Paseo,High,2167.0,15.0,32505.0,3250.5,29254.5,21670.0,7584.5,October,10,2013,2013-10-01,1.400848,AUD,40981.11,10624.73
Government,Germany,Paseo,High,241.0,20.0,4820.0,482.0,4338.0,2410.0,1928.0,October,10,2014,2014-10-01,1.400848,AUD,6076.88,2700.83
Midmarket,Germany,Velo,High,681.0,15.0,10215.0,1021.5,9193.5,6810.0,2383.5,January,1,2014,2014-01-01,1.400848,AUD,12878.7,3338.92
Midmarket,Germany,Velo,High,510.0,15.0,7650.0,765.0,6885.0,5100.0,1785.0,April,4,2014,2014-04-01,1.400848,AUD,9644.84,2500.51
Midmarket,United States of America,Velo,High,790.0,15.0,11850.0,1185.0,10665.0,7900.0,2765.0,May,5,2014,2014-05-01,1.400848,AUD,14940.04,3873.34
Government,France,Velo,High,639.0,350.0,223650.0,22365.0,201285.0,166140.0,35145.0,July,7,2014,2014-07-01,1.400848,AUD,281969.69,49232.8
Enterprise,United States of America,Velo,High,1596.0,125.0,199500.0,19950.0,179550.0,191520.0,-11970.0,September,9,2014,2014-09-01,1.400848,AUD,251522.26,-16768.15
Small Business,United States of America,Velo,High,2294.0,300.0,688200.0,68820.0,619380.0,573500.0,45880.0,October,10,2013,2013-10-01,1.400848,AUD,867657.23,64270.91
Government,Germany,Velo,High,241.0,20.0,4820.0,482.0,4338.0,2410.0,1928.0,October,10,2014,2014-10-01,1.400848,AUD,6076.88,2700.83
Government,Germany,Velo,High,2665.0,7.0,18655.0,1865.5,16789.5,13325.0,3464.5,November,11,2014,2014-11-01,1.400848,AUD,23519.54,4853.24
Enterprise,Canada,Velo,High,1916.0,125.0,239500.0,23950.0,215550.0,229920.0,-14370.0,December,12,2013,2013-12-01,1.400848,AUD,301952.79,-20130.19
Small Business,France,Velo,High,853.0,300.0,255900.0,25590.0,230310.0,213250.0,17060.0,December,12,2014,2014-12-01,1.400848,AUD,322629.3,23898.47
Enterprise,Mexico,VTT,High,341.0,125.0,42625.0,4262.5,38362.5,40920.0,-2557.5,May,5,2014,2014-05-01,1.400848,AUD,53740.03,-3582.67
Midmarket,Mexico,VTT,High,641.0,15.0,9615.0,961.5,8653.5,6410.0,2243.5,July,7,2014,2014-07-01,1.400848,AUD,12122.24,3142.8
Government,United States of America,VTT,High,2807.0,350.0,982450.0,98245.0,884205.0,729820.0,154385.0,August,8,2014,2014-08-01,1.400848,AUD,1238636.81,216269.92
Small Business,Mexico,VTT,High,432.0,300.0,129600.0,12960.0,116640.0,108000.0,8640.0,September,9,2014,2014-09-01,1.400848,AUD,163394.91,12103.33
Small Business,United States of America,VTT,High,2294.0,300.0,688200.0,68820.0,619380.0,573500.0,45880.0,October,10,2013,2013-10-01,1.400848,AUD,867657.23,64270.91
Midmarket,France,VTT,High,2167.0,15.0,32505.0,3250.5,29254.5,21670.0,7584.5,October,10,2013,2013-10-01,1.400848,AUD,40981.11,10624.73
Enterprise,Canada,VTT,High,2529.0,125.0,316125.0,31612.5,284512.5,303480.0,-18967.5,November,11,2014,2014-11-01,1.400848,AUD,398558.77,-26570.58
Government,Germany,VTT,High,1870.0,350.0,654500.0,65450.0,589050.0,486200.0,102850.0,December,12,2013,2013-12-01,1.400848,AUD,825169.51,144077.22
Enterprise,United States of America,Amarilla,High,579.0,125.0,72375.0,7237.5,65137.5,69480.0,-4342.5,January,1,2014,2014-01-01,1.400848,AUD,91247.74,-6083.18
Government,Canada,Amarilla,High,2240.0,350.0,784000.0,78400.0,705600.0,582400.0,123200.0,February,2,2014,2014-02-01,1.400848,AUD,988438.35,172584.47
Small Business,United States of America,Amarilla,High,2993.0,300.0,897900.0,89790.0,808110.0,748250.0,59860.0,March,3,2014,2014-03-01,1.400848,AUD,1132039.28,83854.76
Channel Partners,Canada,Amarilla,High,3520.5,12.0,42246.0,4224.6,38021.399999999994,10561.5,27459.899999999998,April,4,2014,2014-04-01,1.400848,AUD,53262.2,38467.15
Government,Mexico,Amarilla,High,2039.0,20.0,40780.0,4078.0,36702.0,20390.0,16312.0,May,5,2014,2014-05-01,1.400848,AUD,51413.92,22850.63
Channel Partners,Germany,Amarilla,High,2574.0,12.0,30888.0,3088.8,27799.2,7722.0,20077.2,August,8,2014,2014-08-01,1.400848,AUD,38942.45,28125.11
Government,Canada,Amarilla,High,707.0,350.0,247450.0,24745.0,222705.0,183820.0,38885.0,September,9,2014,2014-09-01,1.400848,AUD,311975.85,54471.97
Midmarket,France,Amarilla,High,2072.0,15.0,31080.0,3108.0,27972.0,20720.0,7252.0,December,12,2014,2014-12-01,1.400848,AUD,39184.52,10158.95
Small Business,France,Amarilla,High,853.0,300.0,255900.0,25590.0,230310.0,213250.0,17060.0,December,12,2014,2014-12-01,1.400848,AUD,322629.3,23898.47
Channel Partners,France,Carretera,High,1198.0,12.0,14376.0,1581.36,12794.64,3594.0,9200.64,October,10,2013,2013-10-01,1.400848,AUD,17923.35,12888.7
Government,France,Paseo,High,2532.0,7.0,17724.0,1949.6399999999999,15774.36,12660.0,3114.3599999999997,April,4,2014,2014-04-01,1.400848,AUD,22097.48,4362.74
Channel Partners,France,Paseo,High,1198.0,12.0,14376.0,1581.36,12794.64,3594.0,9200.64,October,10,2013,2013-10-01,1.400848,AUD,17923.35,12888.7
Midmarket,Canada,Velo,High,384.0,15.0,5760.0,633.5999999999999,5126.4,3840.0,1286.3999999999999,January,1,2014,2014-01-01,1.400848,AUD,7181.31,1802.05
